"participant","seed","sort","image","final_img_pos","posX","posY"
"205",5,"Sort1","M07surp_c","[ 644.   75.]",644,75
"205",5,"Sort1","M07ang_o","[ 501.  373.]",501,373
"205",5,"Sort1","M07fear_c","[ 358. -223.]",358,-223
"205",5,"Sort1","M07fear_o","[ 501. -223.]",501,-223
"205",5,"Sort1","M07exc_o","[ 501.   75.]",501,75
"205",5,"Sort1","M07calm_c","[-357. -223.]",-357,-223
"205",5,"Sort1","M07exc_c","[-643. -223.]",-643,-223
"205",5,"Sort1","M07sad_c","[  72.  224.]",72,224
"205",5,"Sort2","M15surp_o","[-357.   75.]",-357,75
"205",5,"Sort2","F17calm_o","[ 358.   75.]",358,75
"205",5,"Sort2","M04disg_c","[  72. -223.]",72,-223
"205",5,"Sort2","M12hap_o","[ 358.  224.]",358,224
"205",5,"Sort2","F14surp_c","[-500.   75.]",-500,75
"205",5,"Sort2","F07neut_c","[ -71.  373.]",-71,373
"205",5,"Sort2","M05exc_c","[ 501.   75.]",501,75
"205",5,"Sort2","F01fear_c","[ -71. -223.]",-71,-223
"205",5,"Sort2","M17sad_o","[  72. -372.]",72,-372
"205",5,"Sort2","M14neut_o","[-214.  373.]",-214,373
"205",5,"Sort2","M08fear_o","[ -71. -372.]",-71,-372
"205",5,"Sort2","F04ang_o","[-500. -223.]",-500,-223
"205",5,"Sort2","M02ang_c","[-500. -372.]",-500,-372
"205",5,"Sort2","F13exc_o","[ 501.  224.]",501,224
"205",5,"Sort2","M03calm_c","[  72.  373.]",72,373
"205",5,"Sort2","F15hap_c","[ 358.  -74.]",358,-74
"205",5,"Sort2","F10disg_o","[-357. -223.]",-357,-223
"205",5,"Sort2","F22sad_c","[ 215. -372.]",215,-372
"206",6,"Practice","bird","[ 72.  75.]",72,75
"206",6,"Practice","bus","[-500. -223.]",-500,-223
"206",6,"Practice","table","[ 501. -223.]",501,-223
"206",6,"Practice","car","[-357. -223.]",-357,-223
"206",6,"Practice","squirrel","[-214.  224.]",-214,224
"206",6,"Sort1","M07neut_c","[ 215.   75.]",215,75
"206",6,"Sort1","M07calm_c","[-71.  75.]",-71,75
"206",6,"Sort1","M07calm_o","[-357.   75.]",-357,75
"206",6,"Sort1","M07fear_o","[  72. -372.]",72,-372
"206",6,"Sort1","M07hap_c","[-643.  224.]",-643,224
"206",6,"Sort1","M07hap_o","[-643.   75.]",-643,75
"206",6,"Sort1","M07sad_c","[ 644.   75.]",644,75
"206",6,"Sort1","M07disg_c","[ 358.  224.]",358,224
"206",6,"Sort1","M07ang_c","[ 358.  373.]",358,373
"206",6,"Sort1","M07fear_c","[ 215. -372.]",215,-372
"206",6,"Sort1","M07exc_c","[-357. -372.]",-357,-372
"206",6,"Sort1","M07surp_c","[-357. -223.]",-357,-223
"206",6,"Sort1","M07disg_o","[ 501. -223.]",501,-223
"206",6,"Sort1","M07ang_o","[ 501.  -74.]",501,-74
"206",6,"Sort1","M07surp_o","[-643.  -74.]",-643,-74
"206",6,"Sort1","M07neut_o","[ 215.  -74.]",215,-74
"206",6,"Sort1","M07sad_o","[ 644.  224.]",644,224
"206",6,"Sort1","M07exc_o","[ -71.  224.]",-71,224
"206",6,"Sort2","F14surp_c","[  72.  224.]",72,224
"206",6,"Sort2","F15hap_c","[-500. -223.]",-500,-223
"206",6,"Sort2","M14neut_o","[ 215.  373.]",215,373
"206",6,"Sort2","F13exc_o","[-500.   75.]",-500,75
"206",6,"Sort2","M05exc_c","[-357. -223.]",-357,-223
"206",6,"Sort2","M04disg_c","[ 501. -372.]",501,-372
"206",6,"Sort2","F22sad_c","[ 501.  -74.]",501,-74
"206",6,"Sort2","F07neut_c","[ 644.  373.]",644,373
