"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
117,"Animal",3,"horse",0,"horse","117 horse",0
117,"Animal",4,"chicken",0,"chicken","117 chicken",0
117,"Animal",5,"duck",0,"duck","117 duck",0
117,"Animal",6,"flamingo",0,"flamingo","117 flamingo",0
117,"Animal",8,"hedgehog",0,"hedgehog","117 hedgehog",0
117,"Animal",9,"skunk",0,"skunk","117 skunk",0
117,"Animal",10,"badger",0,"badger","117 badger",0
117,"Animal",11,"panda",0,"panda","117 panda",0
117,"Animal",12,"gorilla",0,"gorilla","117 gorilla",0
117,"Animal",13,"donkey",0,"donkey","117 donkey",0
117,"Animal",14,"polarbear",0,"polarbear","117 polarbear",0
117,"Animal",15,"wolf",0,"wolf","117 wolf",0
117,"Animal",16,"dolphin",0,"dolphin","117 dolphin",0
117,"Animal",17,"shark",0,"shark","117 shark",0
117,"Animal",18,"whale",0,"whale","117 whale",0
117,"Animal",19,"fish",0,"fish","117 fish",0
117,"Animal",20,"walrus",0,"walrus","117 walrus",0
117,"Animal",21,"penguin",0,"penguin","117 penguin",0
117,"Emotion",3,"angry",0,"angry","117 angry",0
117,"Emotion",4,"happy",0,"happy","117 happy",0
117,"Emotion",5,"excited",0,"excited","117 excited",0
117,"Emotion",6,"scared",0,"scared","117 scared",0
117,"Emotion",8,"beautiful",1,"beautiful","117 beautiful",0
118,"Animal",1,"tiger",0,"tiger","118 tiger",0
118,"Animal",2,"lion",0,"lion","118 lion",0
118,"Animal",3,"monkey",0,"monkey","118 monkey",0
118,"Animal",4,"chihuahua",0,"chihuahua","118 chihuahua",0
118,"Animal",5,"ringtailedsloth",0,"ringtailedsloth","118 ringtailedsloth",0
118,"Emotion",1,"happy",0,"happy","118 happy",0
118,"Emotion",2,"sad",0,"sad","118 sad",0
118,"Emotion",3,"mad",0,"mad","118 mad",0
118,"Emotion",4,"angry",0,"angry","118 angry",0
118,"Emotion",5,"frustrated",0,"frustrated","118 frustrated",0
120,"Animal",1,"elephant",0,"elephant","120 elephant",0
120,"Animal",2,"zebra",0,"zebra","120 zebra",0
120,"Animal",3,"giraffe",0,"giraffe","120 giraffe",0
120,"Animal",4,"hippo",0,"hippo","120 hippo",0
120,"Emotion",1,"happy",0,"happy","120 happy",0
120,"Emotion",2,"sad",0,"sad","120 sad",0
120,"Emotion",3,"exhausted",0,"exhausted","120 exhausted",0
120,"Emotion",4,"mad",0,"mad","120 mad",0
121,"Animal",1,"squirrel",0,"squirrel","121 squirrel",0
121,"Animal",2,"bird",0,"bird","121 bird",0
121,"Animal",3,"chipmunk",0,"chipmunk","121 chipmunk",0
121,"Animal",4,"buffalo",0,"buffalo","121 buffalo",0
121,"Animal",5,"elephant",0,"elephant","121 elephant",0
121,"Animal",6,"wildabeast",0,"wildabeast","121 wildabeast",0
121,"Animal",7,"antelope",0,"antelope","121 antelope",0
121,"Animal",8,"tiger",0,"tiger","121 tiger",0
121,"Animal",9,"lion",0,"lion","121 lion",0
121,"Animal",10,"penguin",0,"penguin","121 penguin",0
121,"Animal",11,"bear",0,"bear","121 bear",0
121,"Animal",12,"snake",0,"snake","121 snake",0
121,"Animal",13,"seal",0,"seal","121 seal",0
121,"Animal",14,"dolphin",0,"dolphin","121 dolphin",0
121,"Animal",15,"whale",0,"whale","121 whale",0
121,"Animal",16,"shark",0,"shark","121 shark",0
121,"Animal",17,"rhino",0,"rhino","121 rhino",0
121,"Animal",18,"hippo",0,"hippo","121 hippo",0
121,"Animal",19,"cheetah",0,"cheetah","121 cheetah",0
121,"Animal",20,"cat",0,"cat","121 cat",0
121,"Animal",21,"dog",0,"dog","121 dog",0
121,"Animal",22,"chicken",0,"chicken","121 chicken",0
121,"Animal",23,"horse",0,"horse","121 horse",0
121,"Emotion",1,"angry",0,"angry","121 angry",0
121,"Emotion",2,"happy",0,"happy","121 happy",0
121,"Emotion",3,"mad",0,"mad","121 mad",0
121,"Emotion",4,"sad",0,"sad","121 sad",0
121,"Emotion",5,"frustrated",0,"frustrated","121 frustrated",0
121,"Emotion",6,"scared",0,"scared","121 scared",0
121,"Emotion",7,"surprise",0,"surprise","121 surprise",0
122,"Animal",1,"giraffe",0,"giraffe","122 giraffe",0
122,"Animal",2,"lion",0,"lion","122 lion",0
122,"Animal",3,"elephant",0,"elephant","122 elephant",0
122,"Emotion",1,"sad",0,"sad","122 sad",0
122,"Emotion",2,"happy",0,"happy","122 happy",0
122,"Emotion",3,"reallyhappy",1,"reallyhappy","122 reallyhappy",0
123,"Animal",1,"cougar",0,"cougar","123 cougar",0
123,"Animal",2,"snail",0,"snail","123 snail",0
123,"Animal",3,"lizard",0,"lizard","123 lizard",0
123,"Animal",4,"iguana",0,"iguana","123 iguana",0
123,"Animal",5,"tiger",0,"tiger","123 tiger",0
123,"Animal",6,"lion",0,"lion","123 lion",0
123,"Animal",7,"zebra",0,"zebra","123 zebra",0
123,"Animal",8,"flamingo",0,"flamingo","123 flamingo",0
123,"Animal",9,"gorilla",0,"gorilla","123 gorilla",0
123,"Animal",10,"alligator",0,"alligator","123 alligator",0
123,"Animal",11,"frog",0,"frog","123 frog",0
123,"Animal",12,"starfish",0,"starfish","123 starfish",0
123,"Emotion",2,"angry",0,"angry","123 angry",0
123,"Emotion",3,"surprise",0,"surprise","123 surprise",0
123,"Emotion",5,"happy",0,"happy","123 happy",0
123,"Emotion",6,"sorry",0,"sorry","123 sorry",0
124,"Animal",2,"cat",0,"cat","124 cat",0
124,"Animal",3,"tiger",0,"tiger","124 tiger",0
124,"Animal",4,"dragon",0,"dragon","124 dragon",0
124,"Animal",5,"giraffe",0,"giraffe","124 giraffe",0
124,"Animal",6,"snail",0,"snail","124 snail",0
124,"Animal",7,"cheetah",0,"cheetah","124 cheetah",0
124,"Animal",9,"turtle",0,"turtle","124 turtle",0
124,"Animal",10,"mouse",0,"mouse","124 mouse",0
124,"Emotion",1,"sad",0,"sad","124 sad",0
124,"Emotion",3,"mad",0,"mad","124 mad",0
125,"Animal",1,"fox",0,"fox","125 fox",0
125,"Animal",2,"kangaroo",0,"kangaroo","125 kangaroo",0
125,"Animal",3,"elephant",0,"elephant","125 elephant",0
125,"Animal",4,"tiger",0,"tiger","125 tiger",0
125,"Animal",5,"snowleopard",0,"snowleopard","125 snowleopard",0
125,"Animal",6,"unicorn",0,"unicorn","125 unicorn",0
125,"Animal",7,"giraffe",0,"giraffe","125 giraffe",0
125,"Emotion",2,"mad",0,"mad","125 mad",0
125,"Emotion",3,"angry",0,"angry","125 angry",0
125,"Emotion",4,"upset",0,"upset","125 upset",0
125,"Emotion",6,"frustrated",0,"frustrated","125 frustrated",0
125,"Emotion",7,"disgust",0,"disgusted","125 disgusted",0
126,"Animal",1,"lion",0,"lion","126 lion",0
126,"Animal",2,"tiger",0,"tiger","126 tiger",0
126,"Animal",3,"dinosaur",0,"dinosaur","126 dinosaur",0
126,"Animal",4,"elephant",0,"elephant","126 elephant",0
126,"Animal",5,"giraffe",0,"giraffe","126 giraffe",0
126,"Animal",6,"monkey",0,"monkey","126 monkey",0
126,"Animal",7,"boxelderbug",0,"boxelderbug","126 boxelderbug",0
126,"Emotion",1,"sad",0,"sad","126 sad",0
126,"Emotion",2,"concentrating",1,"concentrating","126 concentrating",0
126,"Emotion",3,"listening",1,"listening","126 listening",0
126,"Emotion",4,"scared",0,"scared","126 scared",0
126,"Emotion",5,"emotional",0,"emotional","126 emotional",0
126,"Emotion",6,"calm",0,"calm","126 calm",0
127,"Animal",1,"trex",0,"trex","127 trex",0
127,"Animal",2,"bear",0,"bear","127 bear",0
127,"Animal",3,"fox",0,"fox","127 fox",0
127,"Animal",4,"dog",0,"dog","127 dog",0
127,"Animal",5,"gorilla",0,"gorilla","127 gorilla",0
