Subj,Word_Category,Order,Word,Exclude
127,Animal,12,woollymammoth,0
127,Animal,13,woollyrhino,0
127,Emotion,1,mad,0
127,Emotion,2,sad,0
127,Emotion,3,happy,0
127,Emotion,4,scared,0
128,Animal,1,lion,0
128,Animal,2,tiger,0
128,Animal,3,cheetah,0
128,Animal,4,wolf,0
128,Animal,5,somethingwolf,0
128,Animal,6,giraffe,0
128,Animal,7,zebra,0
128,Animal,8,cat,0
128,Animal,9,dog,0
128,Animal,10,rabbit,0
128,Animal,11,fish,0
128,Emotion,1,disgust,0
128,Emotion,2,happy,0
128,Emotion,3,mad,0
128,Emotion,4,sad,0
129,Animal,1,monkey,0
129,Animal,2,bird,0
129,Animal,3,rabbit,0
129,Animal,4,frog,0
129,Animal,5,cat,0
129,Emotion,1,sad,0
129,Emotion,2,happy,0
129,Emotion,3,scared,0
129,Emotion,4,silly,0
129,Emotion,5,mean,0
129,Emotion,6,excited,0
129,Emotion,7,silly,0
130,Animal,1,cheetah,0
130,Animal,2,cat,0
130,Animal,3,dog,0
130,Animal,4,bird,0
130,Animal,5,lion,0
130,Animal,6,horse,0
130,Animal,7,penguin,0
130,Animal,8,fish,0
130,Animal,9,dolphin,0
130,Emotion,1,sad,0
130,Emotion,2,happy,0
130,Emotion,3,excited,0
130,Emotion,4,mad,0
131,Animal,1,chicken,0
131,Animal,2,cow,0
131,Animal,3,dog,0
131,Animal,4,cat,0
131,Animal,5,pig,0
131,Animal,6,bird,0
131,Animal,7,human,0
131,Animal,8,bull,0
131,Animal,9,giraffe,0
131,Animal,10,zebra,0
131,Animal,11,lion,0
131,Animal,12,tiger,0
131,Animal,13,sloth,0
131,Animal,14,elephant,0
131,Animal,15,fish,0
131,Animal,16,shark,0
131,Emotion,1,mad,0
131,Emotion,2,happy,0
131,Emotion,3,sad,0
132,Animal,1,bunny,0
132,Animal,2,parrot,0
132,Animal,3,horse,0
132,Animal,4,grasshopper,0
132,Animal,5,frog,0
132,Emotion,1,sad,0
132,Emotion,2,happy,0
132,Emotion,3,laugh,0
133,Animal,1,cow,0
133,Animal,2,horse,0
133,Animal,3,sheep,0
133,Animal,4,cat,0
133,Emotion,1,happy,0
133,Emotion,2,angry,0
133,Emotion,3,mad,0
133,Emotion,4,sad,0
134,Animal,1,zebra,0
134,Animal,2,giraffe,0
134,Animal,3,narwhal,0
134,Animal,4,kitty,0
134,Animal,5,bunny,0
134,Animal,6,cat,0
134,Animal,7,chicken,0
134,Animal,8,dog,0
134,Animal,9,trex,0
134,Animal,10,gecko,0
134,Animal,11,lizard,0
134,Animal,12,chameleon,0
134,Animal,13,fish,0
134,Emotion,1,scared,0
134,Emotion,2,nervous,0
134,Emotion,3,surprise,0
134,Emotion,4,happy,0
134,Emotion,5,sad,0
134,Emotion,6,mad,0
134,Emotion,7,disappointed,0
135,Animal,1,unicorn,0
135,Animal,2,tiger,0
135,Animal,3,giraffe,0
135,Animal,4,penguin,0
135,Animal,5,kitty,0
135,Animal,6,zebra,0
135,Animal,7,fish,0
135,Animal,8,kangaroo,0
135,Animal,9,cheetah,0
135,Emotion,NA,NA,NA
136,Animal,1,tiger,0
136,Animal,2,elephant,0
136,Animal,3,zebra,0
136,Animal,4,monkey,0
136,Animal,5,chimpanzee,0
136,Animal,6,gorilla,0
136,Animal,7,giraffe,0
136,Animal,8,horse,0
136,Animal,9,cow,0
136,Animal,10,pig,0
136,Emotion,1,angry,0
136,Emotion,2,happy,0
136,Emotion,3,scared,0
136,Emotion,4,worried,0
136,Emotion,5,afraid,0
137,Animal,1,hippo,0
137,Animal,2,giraffe,0
137,Animal,3,monkey,0
137,Animal,4,tiger,0
137,Animal,5,lion,0
137,Animal,6,butterfly,0
137,Animal,7,cat,0
137,Animal,8,snake,0
137,Animal,9,worm,0
137,Animal,10,dog,0
137,Animal,11,pup,0
137,Emotion,NA,NA,NA
138,Animal,NA,NA,NA
138,Emotion,NA,NA,NA
143,Animal,1,pig,0
143,Animal,2,horse,0
143,Animal,3,cow,0
143,Animal,4,alligator,0
143,Animal,5,crocodile,0
143,Animal,6,rabbit,0
143,Animal,7,weasel,0
143,Animal,8,possum,0
143,Animal,9,mole,0
143,Animal,10,raccoon,0
143,Animal,11,bear,0
143,Animal,11,fox,0
143,Animal,12,hippo,0
143,Animal,13,cheetah,0
143,Animal,14,lion,0
143,Animal,15,elephant,0
143,Animal,16,turtle,0
143,Animal,17,snake,0
143,Animal,18,tarantula,0
143,Emotion,1,sad,0
143,Emotion,2,happy,0
143,Emotion,3,surprise,0
143,Emotion,4,afraid,0
143,Emotion,5,mad,0
143,Emotion,6,sad,0
145,Animal,1,dog,0
145,Animal,2,cat,0
145,Animal,3,sheep,0
145,Animal,4,goat,0
145,Animal,5,fox,0
145,Animal,6,turtle,0
145,Animal,7,fish,0
145,Animal,8,fox,0
145,Animal,9,bluewhale,0
145,Animal,10,shark,0
145,Animal,11,llama,0
145,Animal,12,horse,0
145,Animal,13,cow,0
145,Animal,14,sheep,0
145,Animal,15,dolphin,0
145,Animal,16,stingray,0
145,Animal,17,lizard,0
145,Animal,18,cow,0
145,Animal,19,llama,0
145,Animal,20,sheep,0
145,Animal,21,giraffe,0
145,Emotion,1,sad,0
145,Emotion,2,happy,0
145,Emotion,3,scared,0
145,Emotion,4,exciting,0
145,Emotion,5,surprise,0
145,Emotion,6,sad,0
145,Emotion,7,scared,0
146,Animal,1,bird,0
