"participant","seed","sort","image","final_img_pos","posX","posY"
"185",185,"Sort1","M07exc_o","[ -71.  373.]",-71,373
"185",185,"Sort1","M07ang_c","[-214. -372.]",-214,-372
"185",185,"Sort1","M07disg_o","[-71. -74.]",-71,-74
"185",185,"Sort1","M07hap_o","[  72.  373.]",72,373
"185",185,"Sort1","M07disg_c","[ -71. -372.]",-71,-372
"185",185,"Sort1","M07sad_o","[  72. -372.]",72,-372
"185",185,"Sort1","M07calm_c","[ 215.  373.]",215,373
"185",185,"Sort2","M15surp_o","[-643.  373.]",-643,373
"185",185,"Sort2","F01fear_c","[-643.   75.]",-643,75
"185",185,"Sort2","F22sad_c","[-643.  -74.]",-643,-74
"185",185,"Sort2","M05exc_c","[-500.  373.]",-500,373
"185",185,"Sort2","F13exc_o","[-357.  373.]",-357,373
"185",185,"Sort2","M14neut_o","[-500.   75.]",-500,75
"185",185,"Sort2","F14surp_c","[-214.  373.]",-214,373
"185",185,"Sort2","F10disg_o","[-500.  -74.]",-500,-74
"185",185,"Sort2","M02ang_c","[-357.   75.]",-357,75
"185",185,"Sort2","M08fear_o","[-214.   75.]",-214,75
"185",185,"Sort2","F04ang_o","[-357.  -74.]",-357,-74
"185",185,"Sort2","M03calm_c","[ -71.  373.]",-71,373
"185",185,"Sort2","F17calm_o","[  72.  373.]",72,373
"185",185,"Sort2","M12hap_o","[ 215.  373.]",215,373
"185",185,"Sort2","M04disg_c","[-214.  -74.]",-214,-74
"185",185,"Sort2","F07neut_c","[ 358.  373.]",358,373
"185",185,"Sort2","M17sad_o","[-71. -74.]",-71,-74
"185",185,"Sort2","F15hap_c","[ 501.  373.]",501,373
"186",186,"Practice","bird","[-643. -372.]",-643,-372
"186",186,"Practice","bus","[ 644.  373.]",644,373
"186",186,"Practice","squirrel","[-643.   75.]",-643,75
"186",186,"Practice","car","[ 644.   75.]",644,75
"186",186,"Practice","table","[  72. -372.]",72,-372
"186",186,"Sort1","M07ang_o","[-643.  373.]",-643,373
"186",186,"Sort1","M07hap_o","[ 644.  373.]",644,373
"186",186,"Sort1","M07exc_c","[ 644.  -74.]",644,-74
"186",186,"Sort1","M07exc_o","[  72. -372.]",72,-372
"186",186,"Sort1","M07surp_c","[-643. -372.]",-643,-372
"186",186,"Sort1","M07calm_c","[  72.  373.]",72,373
