"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat"
"181",181,"Sort1","M07sad_o","[ 644.   75.]",644,75,"p181",181,5.5,"M","5 to 6","kids","sad","sad"
"181",181,"Sort1","M07neut_o","[-643.  224.]",-643,224,"p181",181,5.5,"M","5 to 6","kids","neut","neut"
"181",181,"Sort1","M07exc_c","[-214. -223.]",-214,-223,"p181",181,5.5,"M","5 to 6","kids","exc","exc"
"181",181,"Sort1","M07surp_o","[ 358.  373.]",358,373,"p181",181,5.5,"M","5 to 6","kids","surp","surp"
"181",181,"Sort1","M07hap_o","[ 215. -372.]",215,-372,"p181",181,5.5,"M","5 to 6","kids","hap","hap"
"181",181,"Sort1","M07disg_c","[-214. -372.]",-214,-372,"p181",181,5.5,"M","5 to 6","kids","disg","disg"
"181",181,"Sort1","M07hap_c","[-71. -74.]",-71,-74,"p181",181,5.5,"M","5 to 6","kids","hap","hap"
"181",181,"Sort1","M07surp_c","[ -71. -372.]",-71,-372,"p181",181,5.5,"M","5 to 6","kids","surp","surp"
"181",181,"Sort1","M07neut_c","[ 501. -223.]",501,-223,"p181",181,5.5,"M","5 to 6","kids","neut","neut"
"181",181,"Sort1","M07fear_o","[ 358. -372.]",358,-372,"p181",181,5.5,"M","5 to 6","kids","fear","fear"
"181",181,"Sort2","M12hap_o","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","hap","hap"
"181",181,"Sort2","M02ang_c","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","ang","ang"
"181",181,"Sort2","F17calm_o","[ -71. -372.]",-71,-372,"p181",181,5.5,"M","5 to 6","kids","calm","calm"
"181",181,"Sort2","M14neut_o","[-214.  373.]",-214,373,"p181",181,5.5,"M","5 to 6","kids","neut","neut"
"181",181,"Sort2","F22sad_c","[-643.  224.]",-643,224,"p181",181,5.5,"M","5 to 6","kids","sad","sad"
"181",181,"Sort2","M03calm_c","[-357.  -74.]",-357,-74,"p181",181,5.5,"M","5 to 6","kids","calm","calm"
"181",181,"Sort2","F04ang_o","[ 215.  224.]",215,224,"p181",181,5.5,"M","5 to 6","kids","ang","ang"
"181",181,"Sort2","F15hap_c","[ 644. -372.]",644,-372,"p181",181,5.5,"M","5 to 6","kids","hap","hap"
"181",181,"Sort2","M17sad_o","[-357.   75.]",-357,75,"p181",181,5.5,"M","5 to 6","kids","sad","sad"
"181",181,"Sort2","F01fear_c","[ 501.  -74.]",501,-74,"p181",181,5.5,"M","5 to 6","kids","fear","fear"
"181",181,"Sort2","F10disg_o","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","disg","disg"
"181",181,"Sort2","M15surp_o","[ 644.   75.]",644,75,"p181",181,5.5,"M","5 to 6","kids","surp","surp"
"181",181,"Sort2","M04disg_c","[ 215. -372.]",215,-372,"p181",181,5.5,"M","5 to 6","kids","disg","disg"
"181",181,"Sort2","F07neut_c","[ 358. -372.]",358,-372,"p181",181,5.5,"M","5 to 6","kids","neut","neut"
"181",181,"Sort2","M05exc_c","[-643. -223.]",-643,-223,"p181",181,5.5,"M","5 to 6","kids","exc","exc"
"181",181,"Sort2","M08fear_o","[-643.   75.]",-643,75,"p181",181,5.5,"M","5 to 6","kids","fear","fear"
"181",181,"Sort2","F14surp_c","[-357. -372.]",-357,-372,"p181",181,5.5,"M","5 to 6","kids","surp","surp"
"181",181,"Sort2","F13exc_o","[-643. -372.]",-643,-372,"p181",181,5.5,"M","5 to 6","kids","exc","exc"
"184",184,"Practice","squirrel","[ 215. -223.]",215,-223,"p184",184,5.166666667,"F","5 to 6","kids","squirrel","animal"
"184",184,"Practice","car","[-214.  -74.]",-214,-74,"p184",184,5.166666667,"F","5 to 6","kids","car","vehicle"
"184",184,"Practice","bird","[ 358. -223.]",358,-223,"p184",184,5.166666667,"F","5 to 6","kids","bird","animal"
"184",184,"Practice","bus","[-71. -74.]",-71,-74,"p184",184,5.166666667,"F","5 to 6","kids","bus","vehicle"
"184",184,"Practice","table","[ -71.  224.]",-71,224,"p184",184,5.166666667,"F","5 to 6","kids","table","furniture"
"184",184,"Sort1","M07neut_o","[ 644.  -74.]",644,-74,"p184",184,5.166666667,"F","5 to 6","kids","neut","neut"
"184",184,"Sort1","M07surp_c","[ 501.  -74.]",501,-74,"p184",184,5.166666667,"F","5 to 6","kids","surp","surp"
"184",184,"Sort1","M07surp_o","[ 644. -223.]",644,-223,"p184",184,5.166666667,"F","5 to 6","kids","surp","surp"
"184",184,"Sort1","M07neut_c","[ 358.  -74.]",358,-74,"p184",184,5.166666667,"F","5 to 6","kids","neut","neut"
"184",184,"Sort1","M07disg_c","[ 501.  224.]",501,224,"p184",184,5.166666667,"F","5 to 6","kids","disg","disg"
"184",184,"Sort1","M07ang_o","[ 358.  224.]",358,224,"p184",184,5.166666667,"F","5 to 6","kids","ang","ang"
"184",184,"Sort1","M07sad_o","[ 215.  -74.]",215,-74,"p184",184,5.166666667,"F","5 to 6","kids","sad","sad"
"184",184,"Sort1","M07calm_o","[ 501. -223.]",501,-223,"p184",184,5.166666667,"F","5 to 6","kids","calm","calm"
