"sample_index","age_bin","age_group","sort","sort_name","N","average_dist","ci_dist"
23,"5 to 6","kids","Sort2","Different Individuals",28,0.0446065525300381,0.0498870369797934
23,"6 to 7","kids","Sort1","Same Individual",23,0.123229434665248,0.0691688402647383
23,"6 to 7","kids","Sort2","Different Individuals",23,0.132866885236411,0.056796116738994
23,"adults","adults","Sort1","Same Individual",40,0.191967641688509,0.034998478466987
23,"adults","adults","Sort2","Different Individuals",40,0.201843409055464,0.0357468084125796
24,"3 to 4","kids","Sort1","Same Individual",21,0.0323966751141892,0.0430579644517262
24,"3 to 4","kids","Sort2","Different Individuals",21,0.0144172430456134,0.0344340810387164
24,"4 to 5","kids","Sort1","Same Individual",34,0.0107256308240488,0.0421425779646829
24,"4 to 5","kids","Sort2","Different Individuals",33,0.0209468961223123,0.041000302541631
24,"5 to 6","kids","Sort1","Same Individual",28,0.0923337820038889,0.0505975340478215
24,"5 to 6","kids","Sort2","Different Individuals",28,0.0505946058475655,0.0420307356184026
24,"6 to 7","kids","Sort1","Same Individual",23,0.103776887266973,0.0495043991508866
24,"6 to 7","kids","Sort2","Different Individuals",23,0.112751614080794,0.0488442043129056
24,"adults","adults","Sort1","Same Individual",40,0.173430202214957,0.0252540427207979
24,"adults","adults","Sort2","Different Individuals",40,0.209174748712162,0.0347392495196705
25,"3 to 4","kids","Sort1","Same Individual",21,0.0153611812175801,0.0435482745763137
25,"3 to 4","kids","Sort2","Different Individuals",21,-0.000301835251866268,0.0488319062291658
25,"4 to 5","kids","Sort1","Same Individual",34,0.010988816652182,0.0428518760802926
25,"4 to 5","kids","Sort2","Different Individuals",33,0.00502716696778572,0.0364944403828016
25,"5 to 6","kids","Sort1","Same Individual",28,0.0740495772644786,0.0506623357622326
25,"5 to 6","kids","Sort2","Different Individuals",28,0.052147890325459,0.0402625693665231
25,"6 to 7","kids","Sort1","Same Individual",23,0.102270688367094,0.0528008539590996
25,"6 to 7","kids","Sort2","Different Individuals",23,0.11399789127597,0.0538265382770803
25,"adults","adults","Sort1","Same Individual",40,0.177647120057434,0.0273712435236077
25,"adults","adults","Sort2","Different Individuals",40,0.240418575223331,0.0317793812133585
26,"3 to 4","kids","Sort1","Same Individual",21,0.0387747486635679,0.0498858566806969
26,"3 to 4","kids","Sort2","Different Individuals",21,0.0107241226765741,0.0354896544143338
26,"4 to 5","kids","Sort1","Same Individual",34,0.0129187402905788,0.0396662474585676
26,"4 to 5","kids","Sort2","Different Individuals",33,0.000605537826631502,0.0342678361267506
26,"5 to 6","kids","Sort1","Same Individual",28,0.0637250822172498,0.046864333234944
26,"5 to 6","kids","Sort2","Different Individuals",28,0.0573255286120092,0.0394130772986815
26,"6 to 7","kids","Sort1","Same Individual",23,0.116693340318569,0.044128035982039
26,"6 to 7","kids","Sort2","Different Individuals",23,0.125758848830453,0.0511539165060197
26,"adults","adults","Sort1","Same Individual",40,0.165926202155693,0.0312818501734502
26,"adults","adults","Sort2","Different Individuals",40,0.194131862158538,0.0294181788200613
27,"3 to 4","kids","Sort1","Same Individual",21,0.024008155540793,0.0520125081866033
27,"3 to 4","kids","Sort2","Different Individuals",21,0.0111285756254623,0.0416971199789893
27,"4 to 5","kids","Sort1","Same Individual",34,-0.00122050702729961,0.0420999209737897
27,"4 to 5","kids","Sort2","Different Individuals",33,-0.00881630957363985,0.032107626034929
27,"5 to 6","kids","Sort1","Same Individual",28,0.0615081907831485,0.0499426871805309
27,"5 to 6","kids","Sort2","Different Individuals",28,0.0673409513678123,0.0402488906295512
27,"6 to 7","kids","Sort1","Same Individual",23,0.068263127429029,0.050544206687265
27,"6 to 7","kids","Sort2","Different Individuals",23,0.148118529067011,0.0501502750628272
27,"adults","adults","Sort1","Same Individual",40,0.177445350915431,0.033172431088016
27,"adults","adults","Sort2","Different Individuals",40,0.201528760162299,0.0280900266488693
28,"3 to 4","kids","Sort1","Same Individual",21,0.00457603647816573,0.0456486300935818
28,"3 to 4","kids","Sort2","Different Individuals",21,-0.0200290606275527,0.0358018778014082
28,"4 to 5","kids","Sort1","Same Individual",34,-0.00165482977570989,0.040857410439323
