"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat","mouth","actor_gender"
"144",144,"Sort1","M07fear_c","[-214. -223.]",-214,-223,"p144",144,6.916666667,"F","6 to 7","kids","fear","fear","c","M"
"144",144,"Sort1","M07calm_o","[-500.  224.]",-500,224,"p144",144,6.916666667,"F","6 to 7","kids","calm","calm","o","M"
"144",144,"Sort1","M07surp_c","[  72. -223.]",72,-223,"p144",144,6.916666667,"F","6 to 7","kids","surp","surp","c","M"
"144",144,"Sort1","M07calm_c","[ -71. -372.]",-71,-372,"p144",144,6.916666667,"F","6 to 7","kids","calm","calm","c","M"
"144",144,"Sort1","M07surp_o","[ -71.  224.]",-71,224,"p144",144,6.916666667,"F","6 to 7","kids","surp","surp","o","M"
"144",144,"Sort1","M07exc_c","[ 215.  224.]",215,224,"p144",144,6.916666667,"F","6 to 7","kids","exc","exc","c","M"
"144",144,"Sort1","M07sad_o","[-357.  373.]",-357,373,"p144",144,6.916666667,"F","6 to 7","kids","sad","sad","o","M"
"144",144,"Sort1","M07ang_c","[ 644. -223.]",644,-223,"p144",144,6.916666667,"F","6 to 7","kids","ang","ang","c","M"
"144",144,"Sort1","M07hap_o","[ 501.  224.]",501,224,"p144",144,6.916666667,"F","6 to 7","kids","hap","hap","o","M"
"144",144,"Sort1","M07neut_c","[-500. -223.]",-500,-223,"p144",144,6.916666667,"F","6 to 7","kids","neut","neut","c","M"
"144",144,"Sort1","M07sad_c","[  72.  373.]",72,373,"p144",144,6.916666667,"F","6 to 7","kids","sad","sad","c","M"
"144",144,"Sort1","M07fear_o","[-214.  -74.]",-214,-74,"p144",144,6.916666667,"F","6 to 7","kids","fear","fear","o","M"
"144",144,"Sort1","M07hap_c","[ 358.  224.]",358,224,"p144",144,6.916666667,"F","6 to 7","kids","hap","hap","c","M"
"144",144,"Sort1","M07neut_o","[-500. -372.]",-500,-372,"p144",144,6.916666667,"F","6 to 7","kids","neut","neut","o","M"
"144",144,"Sort1","M07disg_o","[ 358. -223.]",358,-223,"p144",144,6.916666667,"F","6 to 7","kids","disg","disg","o","M"
"144",144,"Sort2","M03calm_c","[-643.  -74.]",-643,-74,"p144",144,6.916666667,"F","6 to 7","kids","calm","calm","c","M"
"144",144,"Sort2","F04ang_o","[ 644. -372.]",644,-372,"p144",144,6.916666667,"F","6 to 7","kids","ang","ang","o","F"
"144",144,"Sort2","F07neut_c","[-357.  -74.]",-357,-74,"p144",144,6.916666667,"F","6 to 7","kids","neut","neut","c","F"
"144",144,"Sort2","M02ang_c","[ 358. -372.]",358,-372,"p144",144,6.916666667,"F","6 to 7","kids","ang","ang","c","M"
"144",144,"Sort2","M14neut_o","[ 644.  224.]",644,224,"p144",144,6.916666667,"F","6 to 7","kids","neut","neut","o","M"
"144",144,"Sort2","M08fear_o","[ 358.  224.]",358,224,"p144",144,6.916666667,"F","6 to 7","kids","fear","fear","o","M"
"144",144,"Sort2","F15hap_c","[-71. -74.]",-71,-74,"p144",144,6.916666667,"F","6 to 7","kids","hap","hap","c","F"
"144",144,"Sort2","M15surp_o","[ 215.  -74.]",215,-74,"p144",144,6.916666667,"F","6 to 7","kids","surp","surp","o","M"
"144",144,"Sort2","F10disg_o","[  72. -372.]",72,-372,"p144",144,6.916666667,"F","6 to 7","kids","disg","disg","o","F"
"144",144,"Sort2","M17sad_o","[-214.  373.]",-214,373,"p144",144,6.916666667,"F","6 to 7","kids","sad","sad","o","M"
"144",144,"Sort2","F17calm_o","[ 501.  -74.]",501,-74,"p144",144,6.916666667,"F","6 to 7","kids","calm","calm","o","F"
"144",144,"Sort2","M04disg_c","[-214. -372.]",-214,-372,"p144",144,6.916666667,"F","6 to 7","kids","disg","disg","c","M"
"144",144,"Sort2","F14surp_c","[  72.  224.]",72,224,"p144",144,6.916666667,"F","6 to 7","kids","surp","surp","c","F"
"144",144,"Sort2","F22sad_c","[ -71.  224.]",-71,224,"p144",144,6.916666667,"F","6 to 7","kids","sad","sad","c","F"
"144",144,"Sort2","F13exc_o","[ 358.  -74.]",358,-74,"p144",144,6.916666667,"F","6 to 7","kids","exc","exc","o","F"
"144",144,"Sort2","M05exc_c","[ 72. -74.]",72,-74,"p144",144,6.916666667,"F","6 to 7","kids","exc","exc","c","M"
"144",144,"Sort2","F01fear_c","[-214.  -74.]",-214,-74,"p144",144,6.916666667,"F","6 to 7","kids","fear","fear","c","F"
"144",144,"Sort2","M12hap_o","[-500.  -74.]",-500,-74,"p144",144,6.916666667,"F","6 to 7","kids","hap","hap","o","M"
"180",180,"Practice","squirrel","[ 72.  75.]",72,75,"p180",180,5.666666667,"F","5 to 6","kids","squirrel","animal","squirrel","squirrel"
"180",180,"Practice","car","[ 501.  224.]",501,224,"p180",180,5.666666667,"F","5 to 6","kids","car","vehicle","car","car"
"180",180,"Practice","table","[-357.  373.]",-357,373,"p180",180,5.666666667,"F","5 to 6","kids","table","furniture","table","table"
"180",180,"Practice","bird","[-71.  75.]",-71,75,"p180",180,5.666666667,"F","5 to 6","kids","bird","animal","bird","bird"
"180",180,"Practice","bus","[ 358.  224.]",358,224,"p180",180,5.666666667,"F","5 to 6","kids","bus","vehicle","bus","bus"
"180",180,"Sort1","M07hap_c","[ 215.  224.]",215,224,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap","c","M"
"180",180,"Sort1","M07sad_o","[-71.  75.]",-71,75,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad","o","M"
"180",180,"Sort1","M07exc_c","[  72.  224.]",72,224,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc","c","M"
"180",180,"Sort1","M07hap_o","[ 358.  224.]",358,224,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap","o","M"
"180",180,"Sort1","M07surp_c","[-214.  373.]",-214,373,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp","c","M"
"180",180,"Sort1","M07fear_c","[ 72.  75.]",72,75,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear","c","M"
"180",180,"Sort1","M07disg_o","[-357. -223.]",-357,-223,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg","o","M"
"180",180,"Sort1","M07calm_c","[ -71.  224.]",-71,224,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm","c","M"
"180",180,"Sort1","M07fear_o","[ 215.   75.]",215,75,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear","o","M"
"180",180,"Sort1","M07ang_c","[ -71. -223.]",-71,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang","c","M"
"180",180,"Sort1","M07exc_o","[ 501.  224.]",501,224,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc","o","M"
"180",180,"Sort1","M07ang_o","[-214. -223.]",-214,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang","o","M"
"180",180,"Sort1","M07surp_o","[ 644.  224.]",644,224,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp","o","M"
"180",180,"Sort1","M07neut_o","[ -71.  373.]",-71,373,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut","o","M"
"180",180,"Sort1","M07neut_c","[ 358.   75.]",358,75,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut","c","M"
"180",180,"Sort1","M07calm_o","[-214.  224.]",-214,224,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm","o","M"
"180",180,"Sort1","M07sad_c","[ 501.   75.]",501,75,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad","c","M"
"180",180,"Sort1","M07disg_c","[  72. -223.]",72,-223,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg","c","M"
"180",180,"Sort2","M05exc_c","[ 72.  75.]",72,75,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc","c","M"
"180",180,"Sort2","M17sad_o","[-357. -223.]",-357,-223,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad","o","M"
"180",180,"Sort2","F10disg_o","[-643.  373.]",-643,373,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg","o","F"
"180",180,"Sort2","M04disg_c","[-500.  373.]",-500,373,"p180",180,5.666666667,"F","5 to 6","kids","disg","disg","c","M"
"180",180,"Sort2","M08fear_o","[-214. -223.]",-214,-223,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear","o","M"
"180",180,"Sort2","M02ang_c","[ -71. -223.]",-71,-223,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang","c","M"
"180",180,"Sort2","M12hap_o","[ 215.   75.]",215,75,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap","o","M"
"180",180,"Sort2","F15hap_c","[ 358.   75.]",358,75,"p180",180,5.666666667,"F","5 to 6","kids","hap","hap","c","F"
"180",180,"Sort2","F13exc_o","[ 501.   75.]",501,75,"p180",180,5.666666667,"F","5 to 6","kids","exc","exc","o","F"
